Key,Title,Student,Organization,Mentors
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgpkaW11dGh1dXBlDAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC9kaW11dGh1dXBlDAsSB1Byb2plY3QYgICAgMCSiAoM,Optical Character Recognition for Apache PDFBox,Dimuthu Upeksha,Apache Software Foundation,John Hewson
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIghmYW5nemhlbgwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQvZmFuZ3poZW4MCxIHUHJvamVjdBiAgICAgPKICgw,ODE -- OModel refactoring and migration,Fang Zhen,Apache Software Foundation,Tammo van Lessen
ahBzfmdvb2dsZS1tZWxhbmdlck0LEgRVc2VyIglpbWR1ZmZ5MTUMCxIHUHJvZmlsZSIZZ29vZ2xlL2dzb2MyMDE0L2ltZHVmZnkxNQwLEgdQcm9qZWN0GICAgICA34AKDA,[CLOUDSTACK-6114] Create config management recipes to install CloudStack,Ian Duffy,Apache Software Foundation,Sebastien Goasguen
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgpqcHo2MzExd2h1DAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC9qcHo2MzExd2h1DAsSB1Byb2plY3QYgICAgMC9lQoM,CSV PropertyTable Support for Apache Jena (JENA-625),Ying Jiang,Apache Software Foundation,"Andy Seaborne, Damian Steer"
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIghreXVuZ2hvagwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQva3l1bmdob2oMCxIHUHJvamVjdBiAgICAgPKICgw,(PIG-2597) Move Grunt from JavaCC to ANTLR,Kyungho Jeon,Apache Software Foundation,Daniel
ahBzfmdvb2dsZS1tZWxhbmdlclELEgRVc2VyIgttYmVudG9hbHZlcwwLEgdQcm9maWxlIhtnb29nbGUvZ3NvYzIwMTQvbWJlbnRvYWx2ZXMMCxIHUHJvamVjdBiAgICAgK6ZCgw,SPARQL commands in Jena rules,Miguel Bento Alves,Apache Software Foundation,"Rob Vesse, Andy Seaborne"
ahBzfmdvb2dsZS1tZWxhbmdlclELEgRVc2VyIgtuYWRlZW1hbmp1bQwLEgdQcm9maWxlIhtnb29nbGUvZ3NvYzIwMTQvbmFkZWVtYW5qdW0MCxIHUHJvamVjdBiAgICAwOmECgw,GenApp Integration with Apache Airavata,Nadeem Anjum,Apache Software Foundation,"samindaw, Suresh Marru"
ahBzfmdvb2dsZS1tZWxhbmdlck0LEgRVc2VyIglwZXJmZWN0dXMMCxIHUHJvZmlsZSIZZ29vZ2xlL2dzb2MyMDE0L3BlcmZlY3R1cwwLEgdQcm9qZWN0GICAgICArpkKDA,Speech to Text Enhancement Engine for Apache Stanbol,Suman Saurabh,Apache Software Foundation,Andreas Kuckartz
ahBzfmdvb2dsZS1tZWxhbmdlckcLEgRVc2VyIgZyY29lZG8MCxIHUHJvZmlsZSIWZ29vZ2xlL2dzb2MyMDE0L3Jjb2VkbwwLEgdQcm9qZWN0GICAgICA8ogKDA,Amazon Glacier support for jclouds,Roman Coedo,Apache Software Foundation,Andrew Gaul
ahBzfmdvb2dsZS1tZWxhbmdlclMLEgRVc2VyIgxyb3NoYW5yb3g5MTEMCxIHUHJvZmlsZSIcZ29vZ2xlL2dzb2MyMDE0L3Jvc2hhbnJveDkxMQwLEgdQcm9qZWN0GICAgICA8ogKDA,GUI Client for Apache SIS,Roshan Lakmal,Apache Software Foundation,Madhusankha
ahBzfmdvb2dsZS1tZWxhbmdlclcLEgRVc2VyIg5zYWNodGlod2l0aGFuYQwLEgdQcm9maWxlIh5nb29nbGUvZ3NvYzIwMTQvc2FjaHRpaHdpdGhhbmEMCxIHUHJvamVjdBiAgICAgNeMCgw,Re-Architecturing the Apache Airavata Database System,Sachith Withana,Apache Software Foundation,"Suresh Marru, Chathuri Wimalasena"
ahBzfmdvb2dsZS1tZWxhbmdlclELEgRVc2VyIgtzY25ha2FuZGFsYQwLEgdQcm9maWxlIhtnb29nbGUvZ3NvYzIwMTQvc2NuYWthbmRhbGEMCxIHUHJvamVjdBiAgICAwISRCgw,Add Security capabilities to Airavata Thrift services and clients,Supun Chathuranga Nakandala,Apache Software Foundation,Suresh Marru
ahBzfmdvb2dsZS1tZWxhbmdlckcLEgRVc2VyIgZzaGFvbGEMCxIHUHJvZmlsZSIWZ29vZ2xlL2dzb2MyMDE0L3NoYW9sYQwLEgdQcm9qZWN0GICAgICArpkKDA,Proposal for PDFBOX-1915 Implement shading with Coons and tensor-product pa,shaola,Apache Software Foundation,Tilman Hausherr
ahBzfmdvb2dsZS1tZWxhbmdlckcLEgRVc2VyIgZzamVtbGkMCxIHUHJvZmlsZSIWZ29vZ2xlL2dzb2MyMDE0L3NqZW1saQwLEgdQcm9qZWN0GICAgICA8ogKDA,[CLOUDSTACK-6045] Create GUI to add primary storage based on plug-ins,Seif Eddine Jemli,Apache Software Foundation,Mike T
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIghzbWNjYXVsYQwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQvc21jY2F1bGEMCxIHUHJvamVjdBiAgICAgK6ZCgw,Prototype Airavata Support for Application Scheduling,Scott McCaulay,Apache Software Foundation,"Marlon Pierce, Suresh Marru"
ahBzfmdvb2dsZS1tZWxhbmdlclELEgRVc2VyIgtzdXJpeWFwcml5YQwLEgdQcm9maWxlIhtnb29nbGUvZ3NvYzIwMTQvc3VyaXlhcHJpeWEMCxIHUHJvamVjdBiAgICAgLmECgw,GCE support for Stratos,Suriya priya Veluchamy,Apache Software Foundation,Nirmal
ahBzfmdvb2dsZS1tZWxhbmdlckcLEgRVc2VyIgZ0aGltYWwMCxIHUHJvZmlsZSIWZ29vZ2xlL2dzb2MyMDE0L3RoaW1hbAwLEgdQcm9qZWN0GICAgIDA4YoKDA,Dynamic clientside autocompletion features for the Apache Bloodhound ticket,Thimal,Apache Software Foundation,Ryan J Ollos
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgp0b3Jjc3ZhcmlnDAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC90b3Jjc3ZhcmlnDAsSB1Byb2plY3QYgICAgIDyiAoM,Improving classification module in Lucene,Gergő Törcsvári,Apache Software Foundation,Tommaso Teofili
ahBzfmdvb2dsZS1tZWxhbmdlckULEgRVc2VyIgV1ZGFyYQwLEgdQcm9maWxlIhVnb29nbGUvZ3NvYzIwMTQvdWRhcmEMCxIHUHJvamVjdBiAgICAgK6ZCgw,Porting EC2 support with JClouds integration in  Apache Airavata ,Nipun Udara,Apache Software Foundation,"Suresh Marru, lahirugunathilake"
ahBzfmdvb2dsZS1tZWxhbmdlclMLEgRVc2VyIgx2YXJ1bnNoZW5veXYMCxIHUHJvZmlsZSIcZ29vZ2xlL2dzb2MyMDE0L3ZhcnVuc2hlbm95dgwLEgdQcm9qZWN0GICAgICAuYQKDA,A SpatialPrefixTree based on the Hilbert Curve and variable grid sizes,Varun V Shenoy,Apache Software Foundation,David Smiley
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgp2ZXJzaGluaW5mDAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC92ZXJzaGluaW5mDAsSB1Byb2plY3QYgICAgMDflwoM,Apache Nutch web GUI,Fjodor Vershinin,Apache Software Foundation,Lewis John McGibbney
ahBzfmdvb2dsZS1tZWxhbmdlckcLEgRVc2VyIgZ2aW11dGgMCxIHUHJvZmlsZSIWZ29vZ2xlL2dzb2MyMDE0L3ZpbXV0aAwLEgdQcm9qZWN0GICAgICArpkKDA,Mavenize Pig,vimuth,Apache Software Foundation,cheolsoo
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgphYm9vYmFja2VyDAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC9hYm9vYmFja2VyDAsSB1Byb2plY3QYgICAgMC1mwoM,Malayalam English Language pair,Aboobacker MK,Apertium,K. V. S. Prasad
ahBzfmdvb2dsZS1tZWxhbmdlclcLEgRVc2VyIg5haWRhX3N1bmRldG92YQwLEgdQcm9maWxlIh5nb29nbGUvZ3NvYzIwMTQvYWlkYV9zdW5kZXRvdmEMCxIHUHJvamVjdBiAgICAwIidCgw,Adopting an unreleased English-Kazakh language pair,Aida Sundetova,Apertium,Inari Listenmaa
ahBzfmdvb2dsZS1tZWxhbmdlclcLEgRVc2VyIg5ha3NoYXltaW5vY2hhNQwLEgdQcm9maWxlIh5nb29nbGUvZ3NvYzIwMTQvYWtzaGF5bWlub2NoYTUMCxIHUHJvamVjdBiAgICAgLmECgw,Improving support for non-standard text input,Akshay Minocha (ksnmi),Apertium,Kevin Scannell
ahBzfmdvb2dsZS1tZWxhbmdlcl0LEgRVc2VyIhFhbGV4YW5kcnVmbG9yZXNjdQwLEgdQcm9maWxlIiFnb29nbGUvZ3NvYzIwMTQvYWxleGFuZHJ1ZmxvcmVzY3UMCxIHUHJvamVjdBiAgICAgMOVCgw,Complex multiwords,AlexFlower,Apertium,Jim Regan
ahBzfmdvb2dsZS1tZWxhbmdlclMLEgRVc2VyIgxhbmRyZWlzZnJlbnQMCxIHUHJvZmlsZSIcZ29vZ2xlL2dzb2MyMDE0L2FuZHJlaXNmcmVudAwLEgdQcm9qZWN0GICAgICAw5UKDA,Optimise the VM for transfer,Andrei Sfrenț,Apertium,Sergio Ortiz Rojas
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIghiZWtuYXphcgwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQvYmVrbmF6YXIMCxIHUHJvamVjdBiAgICAgPKICgw,Adopting an unreleased language pair of Kazakh <-> Karakalpak languages.,Beknazar,Apertium,Atabek Murtazaev
ahBzfmdvb2dsZS1tZWxhbmdlckkLEgRVc2VyIgdkYXJzaGFrDAsSB1Byb2ZpbGUiF2dvb2dsZS9nc29jMjAxNC9kYXJzaGFrDAsSB1Byb2plY3QYgICAgIC5hAoM,Make the English-Esperanto pair state-of-the-art,Darshak Parikh,Apertium,Jacob Nordfalk
ahBzfmdvb2dsZS1tZWxhbmdlckELEgRVc2VyIgNqbncMCxIHUHJvZmlsZSITZ29vZ2xlL2dzb2MyMDE0L2pudwwLEgdQcm9qZWN0GICAgICAuYQKDA,"Bringing tur-kir, kaz-kir, and tur-uzb pairs out of nursery",Jonathan,Apertium,Trond Trosterud
ahBzfmdvb2dsZS1tZWxhbmdlclULEgRVc2VyIg1wYW5rYWprc2hhcm1hDAsSB1Byb2ZpbGUiHWdvb2dsZS9nc29jMjAxNC9wYW5rYWprc2hhcm1hDAsSB1Byb2plY3QYgICAgKDEjgoM,Fuzzy-match repair from Translation Memory,Pankaj Kumar Sharma,Apertium,Mikel L. Forcada
ahBzfmdvb2dsZS1tZWxhbmdlckkLEgRVc2VyIgdyYXZlZXNoDAsSB1Byb2ZpbGUiF2dvb2dsZS9nc29jMjAxNC9yYXZlZXNoDAsSB1Byb2plY3QYgICAgIDyiAoM,Bring a Hindi-English language pair up to state-of-the-art quality,Raveesh Motlani,Apertium,Nikant
ahBzfmdvb2dsZS1tZWxhbmdlckcLEgRVc2VyIgZzYmFsYnAMCxIHUHJvZmlsZSIWZ29vZ2xlL2dzb2MyMDE0L3NiYWxicAwLEgdQcm9qZWN0GICAgIDA4YoKDA,Apertium on Pidgin & XChat,Sergio,Apertium,acorbi
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIghzZWxpbWNhbgwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQvc2VsaW1jYW4MCxIHUHJvamVjdBiAgICAwIidCgw,Apertium-tat-rus  – machine translation system from Tatar to Russian,Ilnar Salimzyanov,Apertium,Kevin Brubeck Unhammer
ahBzfmdvb2dsZS1tZWxhbmdlclkLEgRVc2VyIg9zZXJlbmlfcmlraGVhcnQMCxIHUHJvZmlsZSIfZ29vZ2xlL2dzb2MyMDE0L3NlcmVuaV9yaWtoZWFydAwLEgdQcm9qZWN0GICAgICA8ogKDA,Assimilation evaluation toolkit for Apertium language pairs,Ekaterina Ageeva,Apertium,Juan Antonio Pérez
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgpzcGllZ2VsaWFuDAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC9zcGllZ2VsaWFuDAsSB1Byb2plY3QYgICAgIDyiAoM,Adopting an unreleased language pair -- Serbo-Croatian<->English,Barbara Dujmic,Apertium,krvoje
ahBzfmdvb2dsZS1tZWxhbmdlckkLEgRVc2VyIgdzdWQxMjA5DAsSB1Byb2ZpbGUiF2dvb2dsZS9nc29jMjAxNC9zdWQxMjA5DAsSB1Byb2plY3QYgICAgIDyiAoM,Adopt the Urdu-Hindi Language Pair,Sudarsh Rathi,Apertium,Muhammad Humayoun (Ph.D.)
ahBzfmdvb2dsZS1tZWxhbmdlclMLEgRVc2VyIgxtYXJpdXNfYXZyYW0MCxIHUHJvZmlsZSIcZ29vZ2xlL2dzb2MyMDE0L21hcml1c19hdnJhbQwLEgdQcm9qZWN0GICAgICAw5UKDA,Add a material editor in appleseed.studio,Marius Avram,appleseed,Esteban Tovagliari
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIghzcmlyYXZpYwwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQvc3JpcmF2aWMMCxIHUHJvamVjdBiAgICAgLmECgw,Adding Support for Curve Rendering in Appleseed,Srinath Ravichandran,appleseed,François Beaune
ahBzfmdvb2dsZS1tZWxhbmdlclELEgRVc2VyIgtvc3dhbHBhbGFzaAwLEgdQcm9maWxlIhtnb29nbGUvZ3NvYzIwMTQvb3N3YWxwYWxhc2gMCxIHUHJvamVjdBiAgICAkPiaCgw,Arches Admin UI Improvements ,Palash Oswal,Arches Project,"Rob Gaston, Alexei"
ahBzfmdvb2dsZS1tZWxhbmdlclkLEgRVc2VyIg90aGFyaW5kdV9ydXNpcmEMCxIHUHJvZmlsZSIfZ29vZ2xlL2dzb2MyMDE0L3RoYXJpbmR1X3J1c2lyYQwLEgdQcm9qZWN0GICAgIDAtZsKDA,Data import/export improvements for Arches,Tharindu Rusira,Arches Project,"alodge, Ryan"
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgpoYXJzaG5pc2FyDAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC9oYXJzaG5pc2FyDAsSB1Byb2plY3QYgICAgIC5hAoM,Mass Importing Sentences from Open texts to Fill Gaps in Tatoeba,Harsh Nisar,Association Tatoeba,"Allan Simon, Tomasz Melcer"
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgpqYWtlcHJvYnN0DAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC9qYWtlcHJvYnN0DAsSB1Byb2plY3QYgICAgMCcggoM,Export to Anki,Jake Probst,Association Tatoeba,"Nicolas Raoul, Maxime Buquet"
ahBzfmdvb2dsZS1tZWxhbmdlckULEgRVc2VyIgVsb29sMAwLEgdQcm9maWxlIhVnb29nbGUvZ3NvYzIwMTQvbG9vbDAMCxIHUHJvamVjdBiAgICAwJyCCgw,Complete Python Rewrite of Tatoeba and Revamping of Its Architecture,lool0,Association Tatoeba,"Trang Ho, Tomasz Melcer"
ahBzfmdvb2dsZS1tZWxhbmdlck8LEgRVc2VyIgpwYWxsYXZzaGFoDAsSB1Byb2ZpbGUiGmdvb2dsZS9nc29jMjAxNC9wYWxsYXZzaGFoDAsSB1Byb2plY3QYgICAgIDXjAoM,Administrative scripts and better export scripts,Pallav,Association Tatoeba,"Allan Simon, gillux"
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIghrZXZpbl94aQwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQva2V2aW5feGkMCxIHUHJvamVjdBiAgICAwOGKCgw,Improve AI by implementing global attack/retreat decision,Kevin Xi,Battle for Wesnoth,Iurii Chernyi
ahBzfmdvb2dsZS1tZWxhbmdlckcLEgRVc2VyIgZsaXBrYWIMCxIHUHJvZmlsZSIWZ29vZ2xlL2dzb2MyMDE0L2xpcGthYgwLEgdQcm9qZWN0GICAgIDA1qUKDA,SDL2 transition,Lipka Boldizsár,Battle for Wesnoth,Mark de Wever
ahBzfmdvb2dsZS1tZWxhbmdlck0LEgRVc2VyIglud2Fsa2VyOTMMCxIHUHJvZmlsZSIZZ29vZ2xlL2dzb2MyMDE0L253YWxrZXI5MwwLEgdQcm9qZWN0GICAgIDAq4YKDA,Unifying Single- and Multi-Player Code Paths,RiftWalker,Battle for Wesnoth,Andrius Silinskas
ahBzfmdvb2dsZS1tZWxhbmdlclkLEgRVc2VyIg9hYmhpc2hla19rYWtrYXIMCxIHUHJvZmlsZSIfZ29vZ2xlL2dzb2MyMDE0L2FiaGlzaGVrX2tha2thcgwLEgdQcm9qZWN0GICAgICgjoEKDA,BeagleLogic - a logic analyzer on the BeagleBone Black,Kumar Abhishek,BeagleBoard.org,"Hunyue Yau, Matt Ranostay"
ahBzfmdvb2dsZS1tZWxhbmdlclMLEgRVc2VyIgxkZWVwYWtfa2Fya2kMCxIHUHJvZmlsZSIcZ29vZ2xlL2dzb2MyMDE0L2RlZXBha19rYXJraQwLEgdQcm9qZWN0GICAgICgmZAKDA,Remoteproc based BotSpeak virtual machine for the PRU ,karki,BeagleBoard.org,pantelis.antoniou
ahBzfmdvb2dsZS1tZWxhbmdlclMLEgRVc2VyIgxkaWVnb3R1cmNpb3MMCxIHUHJvZmlsZSIcZ29vZ2xlL2dzb2MyMDE0L2RpZWdvdHVyY2lvcwwLEgdQcm9qZWN0GICAgIDAtZsKDA,BoneScript web pages with live-running examples and documentation,Diego Turcios,BeagleBoard.org,Jason Kridner
ahBzfmdvb2dsZS1tZWxhbmdlclULEgRVc2VyIg1wcmF2ZWVuZGF0aDkyDAsSB1Byb2ZpbGUiHWdvb2dsZS9nc29jMjAxNC9wcmF2ZWVuZGF0aDkyDAsSB1Byb2plY3QYgICAgMC1mwoM,Android based remote display,Praveen Kumar Pendyala,BeagleBoard.org,Vladimir Pantelic
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIghyc2VldGhhbQwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQvcnNlZXRoYW0MCxIHUHJvamVjdBiAgICAwIidCgw,PyBBIO Library Development,Rekha Seethamraju,BeagleBoard.org,Alexander Hiam
ahBzfmdvb2dsZS1tZWxhbmdlcksLEgRVc2VyIgh2bWF5b3JhbAwLEgdQcm9maWxlIhhnb29nbGUvZ3NvYzIwMTQvdm1heW9yYWwMCxIHUHJvamVjdBiAgICA4Km_Cgw,"BeaglePilot: Integration of ArduPilot, ROS, web-based IDE and security.",Victor Mayoral Vilches,BeagleBoard.org,Andrew Tridgell
ahBzfmdvb2dsZS1tZWxhbmdlck0LEgRVc2VyIglhbHZhcm9wYWcMCxIHUHJvZmlsZSIZZ29vZ2xlL2dzb2MyMDE0L2FsdmFyb3BhZwwLEgdQcm9qZWN0GICAgICA8ogKDA,Support For The Federation of Servers in Zotonic,Álvaro G. Pagliari,BEAM Community,Arjan Scherpenisse
